smiles,affinity,iteration
Cc1c(F)c(F)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c(F)c1F,-36.75781352704757,211
Cc1ccc(F)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1Cl,-48.673057887428506,212
Cc1ccc(F)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1F,-43.85957910819049,213
Cc1c(Cl)ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1Cl,-43.02923304704761,214
Cc1cccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1Br,-44.55848186685704,215
Cc1cccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1F,-39.05494940400003,216
Cc1cc(F)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1F,-28.599648368952405,217
O=C(OCc1csc2cccc(F)c12)c1[nH]c2c(Br)cccc2c1CCCO,-38.181230228190486,218
O=C(OCc1cc(Cl)cc(Cl)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-42.70648378914281,219
COc1c(Cl)ccc(Cl)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-52.51388878495241,220
COc1cccc(Cl)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-48.32673431200003,221
COc1c(Cl)cccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-41.14946650457146,222
CCOc1cccc(Cl)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-39.42465679142855,223
Cc1c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)ccc(Cl)c1Cl,-33.95956519047616,224
O=C(OCC#Cc1cccc(Cl)c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-35.87671331657141,225
COc1cc(Cl)cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-41.18983428095234,226
COc1cccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1Cl,-42.76562945885713,227
COc1cc(Br)cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1I,-46.218825211047616,228
Cc1cccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1Cl,-45.981136667047664,229
COc1cccc(Br)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-38.95110172057143,230
Cc1cccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1I,-37.51951094780956,231
CSc1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1Cl,-40.17326543238095,232
COc1cc(Br)cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-40.07034851542858,233
Cc1c(Cl)cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1I,-41.50435580971431,234
Cc1cc(Br)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1Cl,-50.49749131942853,235
Cc1cc(Cl)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1Br,-35.76113432190475,236
Cc1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1Cl,-44.77338868190473,237
Cc1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1Br,-44.517988501142845,238
Cc1c(Cl)cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1Br,-48.72640514114288,239
Cc1cc(Cl)cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-33.60457938380952,240
Cc1c(Br)sc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1Br,-37.399059149142815,241
Cc1cc(Cl)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c(Cl)c1,-44.40202892647614,242
