Cc1cc(OC(C)C)cc(C)c1Cl	ZINCdH0000002xCr,0.41379310344827586
CCCOc1cc(C)c(Cl)cc1C	ZINCdH000000xwWO,0.41379310344827586
Clc1ccc2c(CCBr)c[nH]c2c1	ZINCdH000000J4vq,0.4482758620689655
CCc1c(C)[nH]c2ccc(Br)cc12	ZINCdI000000J4Bp,0.4482758620689655
CCCOc1cc(C)c(Br)c(C)c1	ZINCdI0000002xXs,0.41379310344827586
CC[C@H](C)Oc1ccc(Cl)c(C)c1	ZINCdI0000002y0I,0.41379310344827586
Cc1cc(OCCCBr)ccc1Cl	ZINCdI000000J4Cn,0.41379310344827586
CCCCOc1ccc(Cl)c(C)c1	ZINCdI0000002xWv,0.41379310344827586
CCCOc1cc(C)cc(C)c1Br	ZINCdI0000002xXu,0.41379310344827586
CC[C@@H](C)Oc1ccc(Cl)c(C)c1	ZINCdI0000002xZT,0.41379310344827586
C=C(C)c1c[nH]c2cc(Cl)ccc12	ZINCdI000001HAbV,0.4482758620689655
C[C@]12C[C@H](C(=O)O)N[C@H]1CCCC2=O	ZINCeb000001nT0v,0.43333333333333335
C[C@@]12C[C@H](C(=O)O)N[C@@H]1CCCC2=O	ZINCeb000001nT0x,0.43333333333333335
O=C(O)[C@@H]1Cc2cc(O)c(O)cc2N1	ZINCeb000001ozkA,0.43333333333333335
C[C@]12C[C@@H](C(=O)O)N[C@H]1CCCC2=O	ZINCeb000001nT0u,0.43333333333333335
C[C@@]12C[C@@H](C(=O)O)N[C@@H]1CCCC2=O	ZINCeb000001nT0w,0.43333333333333335
Cc1c(C(=O)NN)[nH]c2c1CCCC2	ZINCee0000005fXB,0.43333333333333335
COC(=O)[C@@H]1Cc2c(O)cccc2N1	ZINCef000002dekE,0.43333333333333335
Cc1c(C(N)=O)[nH]c2c1C(=O)CCC2	ZINCef000000Z8le,0.43333333333333335
COC(=O)[C@H]1Cc2c(O)cccc2N1	ZINCef000002dady,0.43333333333333335
COC(=O)[C@H]1Cc2ccc(O)cc2N1	ZINCef000001olAS,0.43333333333333335
COC(=O)[C@@H]1Cc2ccc(O)cc2N1	ZINCef000001olAR,0.43333333333333335
N#Cc1c(C(N)=O)[nH]c2ccccc12	ZINCeh000000Zby7,0.43333333333333335
CN1c2ccc(F)cc2C[C@@H]1C(=O)O	ZINCei000001ocdA,0.43333333333333335
CC1(C)c2ccccc2N[C@@H]1C(N)=O	ZINCei000002qaES,0.43333333333333335
COC(=O)[C@@H]1Cc2ccccc2N1C	ZINCei0000035O1u,0.43333333333333335
CC1(C)c2ccccc2N[C@H]1C(N)=O	ZINCei000002oIMq,0.43333333333333335
CN1c2ccc(F)cc2C[C@H]1C(=O)O	ZINCei000001ocdB,0.43333333333333335
O=C(O)c1[nH]c2cccc(F)c2c1I	ZINCei000001oyo0,0.43333333333333335
COC(=O)[C@H]1Cc2ccccc2N1C	ZINCei000003a5Xh,0.43333333333333335
O=C(O)c1[nH]c2cc(F)ccc2c1I	ZINCei000001oyo4,0.43333333333333335
O=C(O)c1cc2cc(O)c(O)cc2[nH]1	ZINCei000001oxmN,0.43333333333333335
Cc1c(C(=O)NO)[nH]c2c1CCCC2	ZINCej0000006Nrg,0.43333333333333335
Cn1c(C(=O)O)cc2cc(Br)ccc21	ZINCej000001od7C,0.43333333333333335
Cn1c(C(=O)O)cc2ccc(Br)cc21	ZINCej000001od7D,0.43333333333333335
Cn1c(C(=O)O)c(Br)c2ccccc21	ZINCej000001od7v,0.43333333333333335
Cc1c(Br)c2ccccn2c1C(=O)O	ZINCej000001nT9a,0.43333333333333335
COC(=O)c1cc2c([nH]1)CCCC2=O	ZINCej000000ZebN,0.43333333333333335
Cn1c(C(=O)O)cc2c(Br)cccc21	ZINCej000001od7A,0.43333333333333335
